CreditScore,Geography,Gender,Age,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Tenure
619,France,Female,42.0,101348.88,0.0,1,1,1,1,2
619,France,Female,42.0,101348.88,0.0,1,1,1,1,2
608,Spain,Female,41.0,112542.58,83807.86,1,1,1,0,1
502,France,Female,42.0,113931.57,159660.8,3,0,0,1,8
699,France,Female,39.0,93826.63,0.0,2,0,0,0,1
850,Spain,Female,43.0,79084.1,125510.82,1,1,1,0,2
645,Spain,Male,44.0,149756.71,113755.78,2,0,0,1,8
822,France,Male,50.0,10062.8,0.0,2,1,1,0,7
376,Germany,Female,29.0,119346.88,115046.74,4,0,0,1,4
501,France,Male,44.0,74940.5,142051.07,2,1,1,0,4
684,France,Male,27.0,71725.73,134603.88,1,1,1,0,2
528,France,Male,31.0,80181.12,102016.72,2,0,0,0,6
497,Spain,Male,24.0,76390.01,0.0,2,0,0,0,3
476,France,Female,34.0,26260.98,0.0,2,0,0,0,10
549,France,Female,25.0,190857.79,0.0,2,0,0,0,5
635,Spain,Female,35.0,65951.65,0.0,2,1,1,0,7
616,Germany,Male,45.0,64327.26,143129.41,2,1,1,0,3
653,Germany,Male,58.0,5097.67,132602.88,1,0,0,1,1
549,Spain,Female,24.0,14406.41,0.0,2,1,1,0,9
587,Spain,Male,45.0,158684.81,0.0,1,0,0,0,6
726,France,Female,24.0,54724.03,0.0,2,1,1,0,6
732,France,Male,41.0,170886.17,0.0,2,1,1,0,8
636,Spain,Female,32.0,138555.46,0.0,2,0,0,0,8
510,Spain,Female,38.0,118913.53,0.0,1,0,0,1,4
669,France,Male,46.0,8487.75,0.0,2,1,1,0,3
846,France,Female,38.0,187616.16,0.0,1,1,1,0,5
577,France,Male,25.0,124508.29,0.0,2,1,1,0,3
756,Germany,Male,36.0,170041.95,136815.64,1,1,1,0,2
571,France,Male,44.0,38433.35,0.0,2,0,0,0,9
574,Germany,Female,,-999999.0,141349.43,1,1,1,0,3
411,France,Male,29.0,53483.21,59697.17,2,1,1,0,0
591,Spain,Female,39.0,140469.38,0.0,3,0,0,1,3
533,France,Male,36.0,156731.91,85311.7,1,1,1,0,7
553,Germany,Male,41.0,81898.81,110112.54,2,0,0,0,9
520,Spain,Female,42.0,34410.55,0.0,2,1,1,0,6
722,Spain,Female,29.0,142033.07,0.0,2,1,1,0,9
475,France,Female,45.0,27822.99,134264.04,1,0,0,1,0
490,Spain,Male,31.0,114066.77,145260.23,1,1,1,0,3
804,Spain,Male,33.0,98453.45,76548.6,1,1,1,0,7
850,France,Male,36.0,40812.9,0.0,1,1,1,0,7
582,Germany,Male,41.0,178074.04,70349.48,2,1,1,0,6
472,Spain,Male,40.0,70154.22,0.0,1,0,0,0,4
465,France,Female,51.0,181297.65,122522.32,1,0,0,1,8
556,France,Female,61.0,94153.83,117419.35,1,1,1,0,2
834,France,Female,49.0,194365.76,131394.56,1,0,0,1,2
660,Spain,Female,61.0,158338.39,155931.11,1,1,1,0,5
776,Germany,Female,32.0,126517.46,109421.13,2,1,1,0,4
829,Germany,Female,27.0,119708.21,112045.67,1,1,1,1,9
637,Germany,Female,39.0,117622.8,137843.8,1,1,1,1,9
550,Germany,Male,38.0,90878.13,103391.38,1,1,1,0,2
776,Germany,Female,37.0,194099.12,103769.22,2,0,0,0,2
698,Germany,Male,44.0,198059.16,116363.37,2,0,0,0,10
585,Germany,Male,36.0,86424.57,146050.97,2,0,0,0,5
788,France,Female,33.0,116978.19,0.0,2,0,0,0,5
655,Germany,Male,41.0,164040.94,125561.97,1,0,0,1,8
601,Germany,Male,42.0,40014.76,98495.72,1,0,0,1,1
619,France,Male,43.0,113410.49,125211.92,1,1,1,0,1
656,France,Male,45.0,87107.57,127864.4,1,0,0,0,5
725,Germany,Male,19.0,45613.75,75888.2,1,0,0,0,0
511,Spain,Female,66.0,1643.11,0.0,1,0,0,1,4
614,France,Male,51.0,46775.28,40685.92,1,1,1,0,4
742,Germany,Male,35.0,84509.57,136857.0,1,0,0,0,5
687,Germany,Female,27.0,126494.82,152328.88,2,0,0,0,9
555,Spain,Male,33.0,178798.13,56084.69,2,0,0,0,1
684,Spain,Male,56.0,99398.36,78707.16,1,1,1,0,8
603,Germany,Male,26.0,92840.67,109166.37,1,1,1,0,4
751,Germany,Female,36.0,27758.36,169831.46,2,1,1,0,6
581,Germany,Female,34.0,110431.51,101633.04,1,0,0,0,1
735,Germany,Male,43.0,196673.28,123180.01,2,1,1,0,10
661,Germany,Female,35.0,113656.85,150725.53,2,1,1,0,5
675,France,Female,21.0,18203.0,98373.26,1,0,0,0,8
738,Germany,Male,58.0,28373.86,133745.44,4,0,0,1,2
813,France,Male,29.0,33953.87,0.0,1,0,0,0,6
657,Spain,Female,37.0,44203.55,163607.18,1,1,1,0,0
604,Germany,Female,25.0,58426.81,157780.84,2,1,1,0,5
519,France,Male,36.0,145562.4,0.0,2,1,1,0,9
735,France,Female,21.0,22388.0,178718.19,2,0,0,0,1
664,France,Male,55.0,139161.64,0.0,2,1,1,0,8
678,France,Female,32.0,148210.64,0.0,1,1,1,0,9
